Date,Open,High,Low,Close,Volume
2015-10-30,145.3100,153.1470,137.3300,140.0800,120622363
2015-09-30,144.8400,149.6800,141.1501,144.9700,81761648
2015-08-31,161.7000,161.8500,140.6200,147.8900,93750967
2015-07-31,163.9700,173.7800,158.5000,161.9900,93805392
2015-06-30,170.2100,171.5601,162.1200,162.6600,80845501
2015-05-29,173.2000,176.3000,168.8400,169.6500,57916093
2015-04-30,160.2300,175.1303,158.3900,171.2900,93821213
2015-03-31,161.6800,165.3500,153.4000,160.5000,104899758
2015-02-27,154.0000,164.9900,151.5100,161.9400,77654705
2015-01-30,161.3100,163.3100,149.5200,153.3100,117395861
2014-12-31,161.6400,164.5200,150.5000,160.4400,101614529
2014-11-28,164.2500,164.9700,159.8000,162.1700,80018581
2014-10-31,189.9100,190.8900,161.1000,164.4000,146272610
2014-09-30,192.6800,195.0000,188.1200,189.8300,64033759
2014-08-29,190.5000,194.1330,183.5800,192.3000,53441600
2014-07-31,181.7000,196.4000,181.7000,191.6700,97597800
2014-06-30,184.7600,187.6500,179.2700,181.2700,78501700
2014-05-30,196.3100,196.7400,182.3300,184.3600,70018300
2014-04-30,193.1200,199.2100,187.0100,196.4700,118447100
2014-03-31,183.3300,195.6300,182.2100,192.4900,118984000
2014-02-28,176.0200,186.1200,172.1900,185.1700,87054800
2014-01-31,187.2100,190.8100,175.3400,176.6800,123489300
2013-12-31,179.4600,187.7900,172.7300,187.5700,97993100
2013-11-29,179.8100,186.2400,177.3100,179.6800,100984900
2013-10-31,185.3400,186.9900,172.5700,179.2100,130967100
2013-09-30,183.6300,194.8900,182.3100,185.1800,71488100
2013-08-30,196.6500,197.1700,181.1000,182.2700,73077400
2013-07-31,192.1500,200.9400,190.2600,195.0400,88079400
2013-06-28,208.2500,210.0500,188.4100,191.1100,80215000
2013-05-31,201.8700,211.9800,199.2000,208.0200,90683600
2013-04-30,212.8000,214.8900,187.6800,202.5400,108666600
2013-03-28,200.6500,215.9000,199.3600,213.3000,76023800
2013-02-28,204.6500,205.3500,197.5100,200.8300,64144100
2013-01-31,194.0900,208.5800,190.3900,203.0700,87636600
2012-12-31,190.7600,196.4500,186.9400,191.5500,79320200
2012-11-30,194.9600,198.0000,184.7800,190.0700,81892500
2012-10-31,208.0100,211.7900,190.5600,194.5300,96155000
2012-09-28,196.6100,208.3200,193.2500,207.4500,77341400
2012-08-31,196.9600,202.0000,193.0200,194.8500,60653700
2012-07-31,196.3600,197.8400,181.8500,195.9800,91516500
2012-06-29,190.1200,199.9900,187.0000,195.5800,84559100
2012-05-31,207.1800,208.9290,192.0000,192.9000,86005300
2012-04-30,208.9600,210.6900,196.7910,207.0800,86603000
2012-03-30,197.2300,209.1200,196.8120,208.6500,88096900
2012-02-29,193.2100,199.2300,190.8310,196.7300,78809900
2012-01-31,186.7300,193.1000,177.3472,192.6000,1
